Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Category
17399.62,6,29,64,663.66,804.34,0,1,4967.38,15605.52,3901.373,539.4,612.23,8,0.96,885,0.53,2,75.97,64.93,1.01,125
627.32,7,54,115,1808.19,1155,233.76,0.38,20741,24915.62,3431.493,1570.68,2082.11,11,0.84,17823,0.56,1.97,82.08,81.06,1.05,146
41060.62,13,22,57,782.28,713.28,0,1,8275.73,259992,6499.743,659.1,747.83,5,0.94,1297,0.51,2,46.44,52.8,1.01,125
274.262,3,6,15,50.12,179.53,30.39,1.78,332.75,1865.42,856.23,164.64,205.77,5,0.88,117,0.67,2.04,105.45,83.96,1.04,144
463.322,5,30,65,237.81,686.88,175.58,0.57,5614.72,10147.62,1608.13,614.7,725.3,8,0.86,4401,0.43,1.84,62.66,53.94,1.04,142
250317.8481,1,5,11,177.49,698.39,0,0.25,1261.34,990.652,61.923,729.09,894.76,5,0.95,2716,0.8,2,65.54,105.44,1.02,131
250317.8481,1,6,13,11.68,145.38,0,0.25,212.6,166.972,10.443,138.72,150.61,5,0.96,279,0.58,2,98.17,96.1,1.02,131
879.212,9,85,179,429.99,1268.68,152.31,0.34,17805.7,19224.22,2068.943,863.89,998.35,12,0.89,14932,0.41,1.63,81.66,60.62,1.03,146
250317.8481,1,1,3,113.4,321.65,0,0.25,459.98,361.272,22.583,222.05,250.74,1,0.91,327,0,2,33.7,115.26,1.02,131
250317.8481,1,35,71,99.87,248.64,0,0.25,1040.44,817.162,51.073,202.22,326.12,19,0.95,2299,0.69,2,77.09,94.08,1.03,131
250317.8481,1,9,19,376.07,722.41,0,0.25,1607.01,1262.142,78.883,577.64,666.61,5,0.92,3361,0.44,2,65.84,67.74,1.03,131
16243.12,3,5,13,338.96,916.49,0,1,2398.16,7534.042,1883.513,532.53,628.63,3,0.93,428,0.6,2,83.64,69.81,1.01,125
250317.8481,2,9,20,179.19,306.71,0,0.25,885.29,695.312,43.463,225.02,263.75,7,0.96,1851,0.58,2,121.52,128.54,1.02,131
250317.8481,1,6,13,12.79,247.67,0,0.25,314.95,247.362,15.463,262.26,279.29,6,0.92,384,0.83,2,31.37,71.99,1.03,131
250317.8481,1,6,13,34.72,323.46,0,0.25,528.24,414.882,25.933,192.4,252.74,4,0.94,367,0.27,2,70.92,79.35,1.02,131
250317.8481,2,10,22,114.11,192.33,0,0.25,679.55,533.722,33.363,138.27,224.02,5,0.92,457,0.41,2,58.8,79.43,1.03,131
250317.8481,2,15,32,147.32,165.02,0,0.25,800.78,628.932,39.313,164.09,179.71,8,0.92,555,0.45,2,69.33,99.69,1.03,131
250317.8481,1,15,31,260.06,144.6,0,0.25,596.24,468.292,29.273,249.29,281.8,12,0.94,836,0.83,2,16.22,57.15,1.02,131
18690.82,5,17,39,896.4,893.34,0,1,6785.32,21316.72,5329.173,753.35,853.22,6,0.96,1178,0.47,2,62.55,55.22,1.01,125
250317.8481,2,8,18,121.39,310.49,0,0.25,795.22,624.562,39.043,206.56,229.48,6,0.93,538,0.68,2,59.21,69.35,1.02,131
250317.8481,2,2,6,105.68,355.22,0,0.25,667.45,524.222,32.763,267.48,288.23,2,0.92,1399,0,2,86.36,73.29,1.02,131
250317.8481,2,19,40,307.28,708.09,0,0.25,2085.95,1638.32,102.393,603.19,641.77,11,0.96,4511,0.59,2,106.59,99.64,1.02,131
250317.8481,2,6,14,117.31,474.95,0,0.25,736.85,578.722,36.173,440.57,484.41,6,0.93,521,0.57,2,64.61,90.16,1.02,131
250317.8481,2,1,4,88.71,221.11,0,0.25,328.4,257.932,16.123,165.76,178.59,2,0.94,201,0.5,2,67.66,98.39,1.02,131
7722.72,5,21,47,616.13,911.71,22.45,1,5441.13,17093.82,4273.463,743.73,878.9,10,0.92,951,0.55,2,74.53,78.84,1.01,125
198.812,3,7,17,58.08,164.8,37.83,1.81,392.22,2223.412,1027.13,130.75,162.21,5,0.89,115,0.57,1.74,83.86,86.37,1.07,144
250317.8481,2,3,8,43.7,148.37,0,0.25,284.76,223.652,13.983,117.2,131.94,4,0.94,179,0.75,2,117.14,102.67,1.02,131
250317.8481,2,6,14,82,205.49,0,0.25,558.38,438.552,27.413,190.16,213.66,7,0.94,387,0.86,2,48.74,53.95,1.02,131
250317.8481,2,5,12,80.83,217.56,0,0.25,485.76,381.522,23.843,171.35,217.38,5,0.88,1002,0.58,2,52.22,89.22,1.04,131
361.232,9,42,93,265.82,536.54,214.37,0.5,7001.31,11152.62,1539.63,408.56,526.83,10,0.91,5120,0.47,1.88,74.97,53.68,1.02,142
250317.8481,2,1,4,50.58,179.21,0,0.25,303.13,238.082,14.883,171.57,233.12,2,0.86,198,0.5,2,138.76,128.24,1.04,131
250317.8481,2,3,8,138.13,180.32,0,0.25,376.81,295.942,18.53,122.82,180.06,3,0.95,840,0.33,2,56.98,74.2,1.02,131
16689.92,4,24,52,877.55,1084.79,0.68,1,6579.91,20671.42,5167.853,778.93,970.24,13,0.96,1155,0.59,2,77.62,73.03,1.01,125
250317.8481,1,21,43,202.15,311.18,0,0.25,1230.92,966.762,60.423,242.72,443.1,13,0.95,2597,0.64,2,100.56,97.34,1.03,131
310.272,5,30,65,354,899.36,195.89,0.5,6167.53,9831.542,1440.483,658.77,713.86,10,0.92,4517,0.37,1.87,72.26,74.51,1.02,142
250317.8481,1,11,23,51,176.16,0,0.25,326.97,256.82,16.053,110.96,121.5,10,0.97,657,0.76,2,88.27,104.58,1.02,131
250317.8481,2,10,22,77.4,174.6,0,0.25,398.76,313.182,19.573,107.84,141.89,7,0.88,268,0.52,2,60.06,91.52,1.05,131
250317.8481,2,104,210,362.44,530.87,0,0.25,5092.22,3999.422,249.963,388.44,540.3,29,0.94,11001,0.65,2,81.15,82.69,1.03,131
250317.8481,1,5,11,90.92,287.34,0,0.25,436.32,342.692,21.423,288.16,365.22,4,0.93,610,0.5,2,76.22,118.26,1.02,131
250317.8481,1,7,15,130.82,542.68,0,0.25,842.98,662.082,41.383,460.12,650.31,7,0.95,574,0.86,2,36.11,62.09,1.01,131
250317.8481,2,22,46,145.45,402.5,0,0.25,1464.82,1150.472,71.93,317.57,371.49,9,0.93,3088,0.38,2,43.38,49.25,1.02,131
250317.8481,1,6,13,68.8,321.08,0,0.25,477.86,375.312,23.463,329.23,358.93,5,0.94,682,0.6,2,38.42,56.13,1.03,131
250317.8481,1,4,9,46.69,258.17,0,0.25,446.48,350.662,21.923,143.84,169.93,4,0.93,1003,0.75,2,56.62,83.64,1.02,131
250317.8481,2,10,22,133.78,236.49,0,0.25,654.24,513.842,32.113,167.25,181.39,6,0.93,890,0.46,2,49.41,86.87,1.03,131
250317.8481,1,9,19,499.69,667.9,0,0.25,1800.46,1414.082,88.383,436.69,569.56,7,0.95,3732,0.56,2,104.38,114.31,1.02,131
20262,7,45,97,319.5,621.3,114.12,0.61,6742.47,138902,3394.713,474.66,507.3,14,0.95,5466,0.59,1.75,67.67,57.6,1.02,146
250317.8481,2,0,2,209.9,381.69,0,0.25,757.67,595.072,37.193,388.21,464.92,1,0.82,1015,0,2,170.85,69.14,1.03,131
250317.8481,2,6,14,129.27,709.11,0,0.25,1261.77,990.992,61.943,748.95,916.5,7,0.9,2568,0.86,2,81.59,94.97,1.03,131
250317.8481,2,25,52,238.61,374.01,0,0.25,1377.68,1082.032,67.633,241.76,448.13,12,0.93,2786,0.58,2,79.43,94.03,1.03,131
250317.8481,1,15,31,136.83,204.14,0,0.25,923.81,725.562,45.353,156.3,270.11,11,0.95,1836,0.73,2,104.65,108.86,1.02,131
250317.8481,1,6,13,66.4,156.64,0,0.25,470.13,369.242,23.083,141.1,201.73,5,0.92,315,0.56,2,68.88,88.98,1.02,131
250317.8481,1,20,41,60.81,268.76,0,0.25,541.46,425.262,26.583,244.28,319.7,15,0.94,1151,0.7,2,84.41,92.68,1.03,131
250317.8481,1,27,55,409.38,497.98,0,0.25,2482.53,1949.772,121.863,386.4,432.84,11,0.96,5293,0.6,2,96.67,96.13,1.02,131
171572,8,40,88,688.37,849.74,2.76,1,9613.58,302022,7550.493,642.45,699.3,8,0.95,1711,0.52,2,61.9,58.44,1.01,125
725.452,5,39,83,493.69,605.98,98.88,0.44,6032.63,8364.212,1140.933,462.66,584.56,14,0.93,4614,0.61,1.87,76.57,69.72,1.02,146
250317.8481,2,9,20,136.49,411.1,0,0.25,709.06,556.892,34.813,321.84,352.1,5,0.94,928,0.56,2,62.71,97.97,1.02,131
17737.52,5,19,43,566.06,873.85,0,1,5140.83,16150.42,4037.63,633.62,1189.34,5,0.96,886,0.55,2,65.09,66.79,1.01,125
34064.42,5,10,25,841.38,977.7,0,1,5421.08,17030.82,4257.713,725.17,1347.79,6,0.94,871,0.5,2,78.64,103.48,1.01,125
250317.8481,2,32,66,668.41,952.08,0,0.25,3020.88,2372.62,148.293,555.18,624.37,18,0.96,6438,0.67,2,95.65,90.31,1.02,131
250317.8481,2,15,32,47.6,192.38,0,0.25,491.41,385.952,24.123,120.86,162,10,0.95,1053,0.82,2,88.23,91.76,1.02,131
5654.492,6,24,54,454.68,1009.46,0,1,3654.2,114802,28703,594.88,599.47,10,0.95,632,0.71,2,78.47,74.64,1.01,125
250317.8481,1,17,35,142.98,328.89,0,0.25,880.8,691.782,43.243,269.23,367.11,14,0.93,1889,0.8,2,84.59,91.28,1.04,131
250317.8481,2,2,6,78.15,984.66,0,0.25,1250,981.752,61.363,655.32,715.05,3,0.94,2617,0.67,2,128.85,133.4,1.02,131
250317.8481,1,11,23,116.53,187.06,0,0.25,530.43,416.62,26.043,117.02,140.36,7,0.94,351,0.56,2,92.22,89.17,1.02,131
250317.8481,2,12,26,115.78,244.18,0,0.25,695.62,546.342,34.153,188.57,266.85,10,0.91,1221,0.69,2,91.2,90.51,1.05,131
590.432,10,66,142,349.39,579.69,114.23,0.55,10916,18908.22,2864.633,528.33,664.24,16,0.88,9458,0.5,1.94,75.1,49.41,1.04,146
250317.8481,2,3,8,74.5,195.42,0,0.25,372.47,292.532,18.283,155.19,187.08,3,0.95,246,0.33,2,58.07,79.08,1.02,131
402.232,6,43,92,433.72,503.2,234.04,0.62,10257.6,20146.32,3597.173,435.38,569.71,10,0.85,7700,0.4,1.82,74.47,62.67,1.04,142
5408.342,11,61,133,401.31,1137.27,155.16,1.86,12556,79967.72,60060.43,1379.59,1429.21,14,0.94,1236,0.52,1.31,63.14,55.63,1.02,143
250317.8481,2,13,28,294.46,422.83,0,0.25,1613.9,1267.562,79.223,300.81,344.93,8,0.94,3494,0.6,2,81.44,72.32,1.03,131
250317.8481,1,23,47,148.32,190.9,0,0.25,720.58,565.952,35.373,122.65,181.02,15,0.92,1602,0.7,2,82.06,105.84,1.04,131
250317.8481,1,15,31,103.1,706.97,0,0.25,1378.06,1082.322,67.653,558.28,614.07,10,0.95,2922,0.71,2,76.74,79.66,1.03,131
250317.8481,1,19,39,450.5,551.17,0,0.25,2406.69,1890.212,118.143,509.57,579,12,0.94,4914,0.66,2,90.08,91.43,1.02,131
250317.8481,1,6,13,171.47,397.46,0,0.25,742.36,583.042,36.443,298.44,342.38,5,0.93,1481,0.6,2,80.02,95.49,1.03,131
250317.8481,2,1,4,132.42,365.44,0,0.25,545.51,428.442,26.783,259.76,295.66,2,0.92,750,0.5,2,85.55,72.54,1.02,131
10300.52,5,57,119,441.22,804.05,3.17,1,7196.09,22607.22,5651.83,603.04,1305.49,18,0.94,1384,0.57,2,97.02,87.35,1.02,125
250317.8481,1,6,13,71.37,269.75,0,0.25,381.62,299.722,18.733,196.92,223.4,5,0.94,828,0.5,2,90.16,106.08,1.04,131
250317.8481,1,8,17,117.72,410.95,0,0.25,717.76,563.722,35.233,339.26,469.12,6,0.94,1519,0.53,2,90.75,97.91,1.02,131
5558.042,6,7,20,437.55,722.64,0.66,1,2262.19,7106.862,1776.723,598.3,1132.54,5,0.91,381,0.57,2,96.17,58.72,1.01,125
250317.8481,2,5,12,115.54,225.76,0,0.25,557.32,437.722,27.363,144.83,168.27,4,0.9,788,0.5,2,60.39,104.86,1.04,131
250317.8481,2,12,26,113.47,268.2,0,0.25,779.64,612.332,38.273,165.13,182.62,10,0.9,514,0.71,2,52.49,76.04,1.03,131
250317.8481,2,1,4,189.63,270.06,0,0.25,528.38,414.992,25.943,238.64,270.92,2,0.93,719,0.5,2,106.51,111.76,1.02,131
12669.72,9,70,149,961,1023.05,9.31,1,17750.1,55763.42,13940.93,667.33,2497.75,20,0.91,3150,0.58,2,72.8,71.57,1.02,125
913.12,7,59,125,370.99,767.89,128.29,0.65,9621.97,19994.32,3918.953,588.1,711.91,15,0.91,7342,0.54,1.95,66.37,59.31,1.02,146
250317.8481,1,10,21,190.91,217.13,0,0.25,508.05,399.022,24.943,217.28,340.02,6,0.91,967,0.58,2,75.27,98.14,1.03,131
250317.8481,2,2,6,205.93,365.19,0,0.25,846.97,665.212,41.583,279.65,323.72,2,0.89,1144,0,2,83.26,85.94,1.02,131
250317.8481,2,16,34,209.23,281.28,0,0.25,1125.03,883.62,55.223,252.53,323.76,12,0.95,2372,0.67,2,70.57,89.17,1.02,131
250317.8481,1,9,19,35.66,284.51,0,0.25,472.74,371.282,23.213,238.72,279.29,7,0.94,979,0.67,2,72.28,95.54,1.03,131
250317.8481,2,6,14,131.3,463.97,0,0.25,758.53,595.742,37.233,391.96,501.73,6,0.91,1541,0.67,2,45.32,94.78,1.03,131
250317.8481,1,3,7,14.12,240.62,0,0.25,308.41,242.222,15.143,252.34,271.03,3,0.95,407,0.67,2,26.19,39.77,1.02,131
602.422,8,120,248,742.69,1192.49,152.86,0.33,23670.1,24652.62,2922.513,842.82,1206.88,15,0.91,20268,0.52,1.99,79.55,75.44,1.03,146
250317.8481,2,1,4,114.6,302.98,0,0.25,442.55,347.582,21.723,212.45,227.28,2,0.92,316,0.5,2,144.67,110.88,1.02,131
125.062,2,0,2,6.77,51.71,11.57,1.71,64.26,350.112,153.053,43.66,51.43,0,0.9,35,0,0,0,0,1.03,144
38913402,1,10,21,220.05,524.34,0,1,1799.18,5652.282,1413.073,576.05,677.32,6,0.97,336,0.54,2,82.55,71.76,1.01,125
250317.8481,2,7,16,158.79,290.69,0,0.25,609.74,478.892,29.933,226.04,269.35,6,0.94,1238,0.51,2,97.01,97.73,1.02,131
483.312,5,44,93,432.63,693.55,271.09,0.66,10146.9,21406.92,4362.413,645.85,744.72,12,0.87,7106,0.46,1.78,69.72,56.49,1.03,142
250317.8481,2,3,8,70.86,516.11,0,0.25,861.94,676.962,42.313,327.86,350.68,3,0.93,1709,0.33,2,58.95,62.38,1.02,131
250317.8481,1,18,37,151.62,444.6,0,0.25,1113.91,874.862,54.683,384.15,456.92,13,0.95,2339,0.61,2,88.84,92.29,1.02,131
250317.8481,2,1,4,103.35,282.9,0,0.25,494.17,388.122,24.263,197.83,229.91,2,0.9,344,0.5,2,87.73,64.59,1.02,131
250317.8481,1,20,41,141.75,212.77,0,0.25,765.41,601.152,37.573,203.58,381.55,14,0.94,1645,0.68,2,84.88,97.91,1.03,131
948.872,7,72,151,550.13,869.1,333.63,0.63,16382.8,32878.72,5971.333,774.75,974.84,14,0.89,11982,0.42,1.88,69.28,55.53,1.03,142
350.572,6,37,80,334.44,468.94,251.2,0.7,8454.69,18845.62,4312.333,438.63,585.98,9,0.85,5860,0.4,1.79,77.54,59.29,1.04,142
14720.82,12,47,106,705.07,1058.9,7.69,1,11145.2,35013.82,8753.443,733.11,1333.31,11,0.92,2020,0.63,2,63.47,76.25,1.02,125
439.832,7,73,153,395.97,615.71,261.54,0.62,14299.4,28253.62,4804.593,798.97,915.13,10,0.87,10543,0.38,1.94,71.43,52.13,1.04,142
1306.12,6,126,258,2288.09,1146.39,228.94,0.4,26807.2,33726.62,4699.033,1781.5,2066.51,19,0.9,22533,0.52,2.02,83.33,74.02,1.03,146
922.862,5,80,165,1015.2,1171.79,182.99,0.4,26223.2,33176.72,4636.963,1119.72,2016.74,12,0.83,22644,0.52,1.96,81.9,80.96,1.05,146
250317.8481,2,467,936,265.54,419.62,0,0.25,8172.86,6418.952,401.183,321.08,490.19,45,0.95,17363,0.66,2,88.82,86.51,1.03,131
250317.8481,2,4,10,49.93,98.95,0,0.25,207.96,163.332,10.213,76.09,93.21,5,0.96,128,0.8,2,108.84,123,1.02,131
153.92,6,2,10,35.47,105.2,9.68,2.18,205.57,1412.32,782.213,103.88,118.88,1,0.95,53,0,1.78,68.04,71.45,1.02,144
250317.8481,2,14,30,118.39,247.77,0,0.25,930.19,730.572,45.663,214.61,249.06,6,0.91,1271,0.51,2,53.46,70.93,1.04,131
250317.8481,2,23,48,72.34,444.93,0,0.25,1050.78,825.282,51.583,450.42,534.01,11,0.93,1467,0.65,2,34.94,82.98,1.02,131
250317.8481,2,11,24,205.77,545.75,0,0.25,2093,1643.842,102.743,406.59,1176.23,7,0.91,3785,0.46,2,82.76,101.48,1.02,131
250317.8481,2,7,16,61.57,126.71,0,0.25,329.07,258.452,16.153,120.71,143.14,6,0.9,684,0.68,2,40.13,78.26,1.04,131
425.812,8,71,150,508.89,1060.8,130.4,0.42,11025.7,14954.42,2036.653,841.68,935.09,12,0.93,8798,0.45,2,77.9,61.87,1.02,146
250317.8481,2,2,6,120.24,603.8,0,0.25,1167.79,917.182,57.323,388.46,717.73,3,0.85,2074,0.67,2,60.16,83.17,1.04,131
250317.8481,1,4,9,148.54,565.88,0,0.25,776.84,610.132,38.133,581.12,689.48,4,0.96,1593,0.75,2,123.42,118.03,1.03,131
250317.8481,1,30,61,99.34,175.25,0,0.25,1042.97,819.152,51.23,131.31,273.88,24,0.95,2212,0.74,2,84.09,98.37,1.02,131
250317.8481,1,4,9,55.82,448.08,0,0.25,592.69,465.52,29.093,249.51,265,4,0.95,1183,0.75,2,106.42,99.43,1.03,131
36232.22,3,19,41,393.59,1150.19,0,1,5521.89,17347.52,4336.893,753.61,984.07,6,0.96,968,0.45,2,83.63,68.33,1.01,125
250317.8481,1,60,121,238.1,470.84,0,0.25,3713.46,2916.552,182.283,299.57,676.52,18,0.93,5149,0.66,2,80.79,100.5,1.03,131
250317.8481,2,4,10,23.59,235.31,0,0.25,307.58,241.572,15.13,211.14,232.06,5,0.94,418,0.8,2,47.47,80.46,1.02,131
276.092,5,34,73,206.56,378.59,96.67,0.51,2979.21,5005.482,907.193,338.6,358.33,9,0.9,2513,0.55,1.85,81.23,74.17,1.03,146
250317.8481,2,6,14,134.58,305.42,0,0.25,730.53,573.762,35.863,313.16,343.87,5,0.92,488,0.45,2,56.38,93.95,1.02,131
250317.8481,1,15,31,90.02,336.76,0,0.25,638.33,501.342,31.333,222.22,240.15,7,0.95,1403,0.54,2,92.74,88.27,1.03,131
250317.8481,1,15,31,67.44,292.7,0,0.25,886.81,696.52,43.533,249.28,310.08,15,0.93,1915,0.93,2,84.93,70.04,1.03,131
250317.8481,2,5,12,85.06,370.64,0,0.25,633.21,497.322,31.083,385.56,413.72,6,0.95,394,0.83,2,55.45,104.68,1.02,131
620.82,6,57,120,1886.49,975.7,157.63,0.39,15793.2,19936.32,2908.393,2220.95,2585.85,10,0.87,13240,0.52,1.96,83.89,71.9,1.04,146
250317.8481,1,19,39,633.62,994.94,0,0.25,3144.3,2469.532,154.343,785.17,1028.29,10,0.95,6418,0.71,2,100.44,85.97,1.02,131
10186.62,1,15,31,708.64,798.64,0.34,1,4994.36,15690.22,3922.563,671.49,795.55,7,0.96,912,0.6,2,55.75,68.8,1.01,125
33611.42,7,7,21,414.5,615.37,0,1,2957.79,9292.162,2323.043,523.9,529.55,2,0.94,452,0,2,52.85,47.77,1.01,125
250317.8481,2,11,24,99.8,343.82,0,0.25,688.7,540.92,33.813,285.57,311.74,8,0.94,1436,0.61,2,28.79,69.09,1.02,131
250317.8481,2,8,18,276,688.44,0,0.25,1205.46,946.762,59.173,407.06,465.06,8,0.93,2668,0.75,2,55.7,54.87,1.03,131
250317.8481,2,2,6,61.21,479.36,0,0.25,575.97,452.362,28.273,331.88,361.86,3,0.94,784,0.67,2,108.67,98.5,1.02,131
250317.8481,1,5,11,148.61,418.73,0,0.25,1000.87,786.082,49.133,386.94,422.35,5,0.94,2022,0.8,2,78.13,106.5,1.02,131
24099.32,3,61,125,571.62,971.24,3.2,1,8889.21,27926.32,6981.573,656.91,810.03,15,0.94,1638,0.62,2,85.65,85.64,1.01,125
250317.8481,1,27,55,286.63,435.19,0,0.25,2476.68,1945.182,121.573,318.01,370.44,11,0.93,5313,0.52,2,52.44,72.1,1.02,131
250317.8481,1,38,77,215.51,478.41,0,0.25,2033.24,1596.92,99.813,478.81,636.41,19,0.95,4387,0.53,2,88.52,89,1.03,131
250317.8481,1,20,41,86.63,491.04,0,0.25,1008.14,791.792,49.493,459.57,518.27,13,0.96,2062,0.64,2,77.47,86.34,1.02,131
250317.8481,2,18,38,123.37,425.86,0,0.25,1127.68,885.682,55.353,408.83,542.56,9,0.92,2423,0.44,2,80.89,96.34,1.03,131
250317.8481,2,4,10,48.2,253.39,0,0.25,382.12,300.122,18.763,252.74,297.15,5,0.93,508,0.8,2,73.93,76.1,1.03,131
250317.8481,1,49,99,213.8,363.93,0,0.25,1817.84,1427.732,89.233,352.34,498.94,21,0.94,3880,0.62,2,79.41,96.17,1.03,131
411.772,7,130,267,846.99,1535.19,95.26,0.35,23352,25715.42,3228.973,1210.27,1302.2,20,0.89,20064,0.56,1.97,73.45,64.75,1.03,146
8147.712,3,12,27,621.23,1037.94,5.65,1,3234.73,10162.22,2540.553,641.03,671.41,7,0.96,522,0.75,2,77.01,65.72,1.01,125
250317.8481,1,17,35,86.85,137.94,0,0.25,644.45,506.152,31.633,129.59,202.45,10,0.91,2643,0.68,2,77.14,100.71,1.04,131
9631.792,2,19,40,526.5,933.27,0,1,5098.15,16016.32,4004.073,688.56,803.13,5,0.97,882,0.35,2,54.69,59.89,1.01,125
250317.8481,1,3,7,20.81,215.26,0,0.25,297.19,233.412,14.593,229.82,252.71,3,0.92,393,0.67,2,30.76,75.37,1.02,131
544.862,8,84,176,916.8,505.98,127.18,0.41,14091.5,18166.92,2535.943,1317.38,1591.61,14,0.9,12159,0.47,1.93,79.34,69.19,1.03,146
250317.8481,2,2,6,69.02,249.01,0,0.25,380.22,298.632,18.663,225.58,244.85,3,0.89,261,0.67,2,56.42,80.43,1.03,131
327.032,7,37,81,347.06,306.5,234.16,0.23,6684.09,4923.52,321.573,327.94,393.23,7,0.89,4541,0.48,2,75.08,61.44,1.03,142
5969.312,2,18,38,360.06,687.73,0,1,3068.63,9640.42,2410.13,510.96,564.34,9,0.96,570,0.46,2,90.46,76.84,1.01,125
579.322,9,65,139,351.56,660.11,226.7,0.52,11493.1,18928.92,2955.353,612.63,798.53,12,0.91,8363,0.44,1.84,73.48,50.59,1.03,142
250317.8481,2,9,20,78.93,117.62,0,0.25,391.46,307.462,19.223,78.47,101.17,7,0.92,846,0.6,2,54.56,104.9,1.03,131
4732.832,6,2,10,387.4,863.84,0,1,1944.01,6107.272,1526.823,639.76,769.4,1,0.87,336,0,2,98.73,41.87,1.03,125
250317.8481,2,2,6,12.85,230.02,0,0.25,278.22,218.522,13.663,223.43,237.83,3,0.91,338,0.67,2,48.83,83.02,1.03,131
250317.8481,2,51,104,163.12,214.22,0,0.25,1559.9,1225.152,76.573,200,226.32,20,0.93,3230,0.73,2,106.75,103.6,1.04,131
11032.62,5,19,43,641.94,1008.98,0,1,7409.72,23278.32,5819.583,771.69,862.19,7,0.95,1278,0.68,2,86.91,72.06,1.01,125
250317.8481,2,30,62,198.8,407.59,0,0.25,1303.02,1023.392,63.963,384.32,475.29,22,0.94,2703,0.74,2,91.24,92.42,1.03,131
672.082,6,64,134,383.99,1011.29,131.24,0.5,10231.4,15600.32,24793,1054.33,1339.09,13,0.86,7496,0.64,2,85.28,85,1.05,146
250317.8481,1,17,35,46.62,230.08,0,0.25,514.46,404.062,25.253,171.47,192.14,10,0.94,1078,0.59,2,99.61,96.18,1.03,131
250317.8481,1,43,87,424.66,434.42,0,0.25,3563.69,2798.922,174.933,398.5,640.2,16,0.93,7522,0.61,2,84.9,92.61,1.03,131
250317.8481,2,2,6,41.51,360.68,0,0.25,435.66,342.162,21.393,229.14,259.19,3,0.94,599,0.67,2,99.47,89.34,1.02,131
13884.62,3,5,13,225.09,1023.52,0,1,1984.63,6234.912,1558.733,689.58,713.95,3,0.97,343,0.6,2,44.29,54.77,1,125
51126.72,3,23,49,478.62,1062.61,0,1,3940.06,12378.12,3094.513,600.22,719.16,11,0.94,674,0.78,2,60.09,71.1,1.01,125
250317.8481,1,145,291,235.74,335.97,0,0.25,3642.65,2860.932,178.813,210.26,456.55,34,0.94,7824,0.6,2,85.12,92.46,1.03,131
367.512,6,24,54,369.46,415.63,291.39,0.54,5337.46,9184.92,1554.283,369.1,507.12,8,0.84,3912,0.45,1.74,81.57,68.04,1.05,142
250317.8481,1,3,7,42.44,422.06,0,0.25,757.22,594.722,37.173,440.62,485.51,3,0.95,548,0.67,2,41.95,20.49,1.01,131
16295.12,4,60,124,745.03,1060.54,2.8,1,15335.8,48178.92,12044.73,693.42,1011.43,11,0.95,2851,0.6,2,61.09,60.2,1.01,125
250317.8481,2,5,12,154.01,421.25,0,0.25,872.88,685.562,42.853,350.2,388.42,4,0.91,1835,0.53,2,90.46,100.95,1.03,131
190.142,6,3,12,15.61,28.84,2.62,1.17,98.9,364.262,107.063,24.08,28.85,2,0.96,46,0.33,2,90.79,96.11,1.02,144
250317.8481,2,21,44,180.61,452.91,0,0.25,794.36,623.892,38.993,353.41,379.52,11,0.92,1022,0.81,2,38.61,78.77,1.03,131
250317.8481,2,6,14,50.47,176.31,0,0.25,354.97,278.792,17.423,161.86,173.87,7,0.95,700,0.86,2,85.49,96.79,1.02,131
1093.442,9,141,291,1186.8,1440.7,151.33,0.41,31253.9,41144.72,5829.643,1089.89,1360.29,17,0.92,26091,0.47,1.98,79.84,61.66,1.02,146
17167.12,4,13,30,755.87,861.54,0,1,4338.54,13629.92,3407.483,601.56,737.62,4,0.96,759,0.5,2,78.09,62.18,1.01,125
250317.8481,1,85,171,219.91,437.72,0,0.25,2748.97,2159.042,134.943,289.11,494.44,23,0.95,5822,0.7,2,92.14,94.16,1.03,131
250317.8481,1,23,47,205.32,444.09,0,0.25,1032.37,810.822,50.683,260.53,292.9,11,0.94,1341,0.81,2,45.06,96.11,1.02,131
10446.52,8,24,56,742.37,961.4,0,1,8832.32,27747.62,6936.893,604.1,800.87,6,0.94,1490,0.46,2,60.15,58.1,1.01,125
250317.8481,2,1,4,30.93,217.31,0,0.25,300.51,236.022,14.753,192.27,212.16,2,0.93,665,0.5,2,179.62,150.11,1.03,131
16065.12,5,52,109,454.85,1105.22,1.25,1,8261.53,25954.42,6488.593,705.82,759.68,13,0.93,1486,0.51,2,75.22,80.97,1.02,125
250317.8481,2,11,24,120.64,279.84,0,0.25,680.56,534.512,33.413,260.93,289.11,7,0.92,1412,0.65,2,64.04,78.75,1.03,131
250317.8481,1,24,49,124.91,234.28,0,0.25,1155.02,907.152,56.73,205.26,309.73,11,0.92,778,0.55,2,53.93,73.01,1.02,131
250317.8481,1,23,47,153.37,235.98,0,0.25,829.94,651.842,40.743,155.79,191.22,9,0.94,1721,0.55,2,75.89,90.6,1.03,131
250317.8481,2,33,68,200.36,1126.22,0,0.25,2749.31,2159.32,134.963,865.72,1008.07,20,0.94,5747,0.55,2,96.57,93.38,1.02,131
