Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Category
250317.8481,1,10,21,95.78,610.73,0,0.25,984.43,773.172,48.323,539.27,614.9,8,0.94,2094,0.62,2,101.68,113.84,1.02,131
250317.8481,1,16,33,66.23,455.84,0,0.25,808.98,635.372,39.713,450.21,492.9,9,0.94,1725,0.58,2,91.51,99.98,1.03,131
250317.8481,2,8,18,106.12,279.11,0,0.25,681.7,535.412,33.463,162.03,200.2,5,0.93,455,0.31,2,41,85.62,1.02,131
250317.8481,1,28,57,330.28,378.69,0,0.25,1970.83,1547.882,96.743,260.1,775.71,17,0.95,4253,0.63,2,78.07,100,1.02,131
250317.8481,2,11,24,141.8,207.27,0,0.25,624.89,490.792,30.673,225.02,308.93,9,0.91,822,0.79,2,52.02,80.87,1.03,131
250317.8481,1,10,21,213.95,391.15,0,0.25,1018.98,800.32,50.023,339.72,382.62,7,0.96,2238,0.42,2,94.15,95.42,1.02,131
147092,5,15,35,804.66,1186.81,0,1,5367.96,16863.92,4215.993,682.05,784.41,7,0.96,924,0.67,2,50.87,62.1,1.01,125
250317.8481,1,8,17,92.55,459.1,0,0.25,718.44,564.262,35.273,443.84,501.1,5,0.96,1520,0.47,2,73.46,90,1.01,131
18215.82,2,8,18,582.41,883.47,0,1,2745.51,8625.272,2156.323,529.4,740.91,5,0.92,480,0.47,2,51.05,75.35,1.02,125
32066.42,2,4,10,153.43,525.28,0,1,880.98,2767.692,691.923,398.6,428.06,3,0.94,138,0.33,2,79.38,96.47,1.02,125
250317.8481,1,11,23,397.21,1188.14,0,0.25,2136,1677.612,104.853,1035.08,1281.23,6,0.94,4566,0.38,2,100.24,101.57,1.02,131
250317.8481,2,2,6,41.73,311.8,0,0.25,399.38,313.672,19.63,231.98,246.74,3,0.92,510,0.67,2,58.09,119.89,1.02,131
250317.8481,2,3,8,73.83,327.82,0,0.25,521.07,409.252,25.583,206.81,225.81,3,0.89,728,0.33,2,50,78.66,1.03,131
224.262,4,3,10,5.09,38.67,16.03,1.69,82.11,448.882,199.763,26.84,28.79,1,0.93,35,0,1.49,107.96,101.75,1.05,144
338.912,5,6,17,18.96,70.66,11,1.45,178.76,866.472,365.53,54.3,58.65,3,0.94,95,0.33,1.62,84.37,56.16,1.03,144
250317.8481,1,31,63,312.54,522.13,0,0.25,1599.49,1256.242,78.523,422.43,585.36,15,0.95,3420,0.7,2,86.79,87.62,1.03,131
250317.8481,1,15,31,53.73,257.18,0,0.25,456.71,358.72,22.423,240.62,263.95,7,0.96,982,0.49,2,80.11,74.05,1.03,131
16817.52,2,16,34,308.27,956.18,0,1,3128.6,9828.792,2457.23,675.92,709.47,10,0.96,562,0.78,2,70.98,73.23,1.01,125
250317.8481,2,2,6,58.3,220.19,0,0.25,487.79,383.112,23.943,149.26,174.87,3,0.79,1015,0.67,2,74.47,74.69,1.06,131
250317.8481,1,13,27,99.54,274.27,0,0.25,570.86,448.352,28.023,246.86,273.01,9,0.94,1163,0.69,2,66.69,86.34,1.03,131
250317.8481,2,0,2,192.89,514.38,0,0.25,816.9,641.592,40.13,368.58,642.05,1,0.7,1088,0,2,134.92,138.85,1.04,131
250317.8481,1,140,281,603.73,1269.13,0,0.25,10463.7,8218.182,513.643,792.84,1262.2,39,0.94,21694,0.65,2,86.55,93.5,1.02,131
250317.8481,2,10,22,67.93,327.38,0,0.25,669.74,526.012,32.883,267.95,285.19,7,0.94,1400,0.6,2,36.75,58.09,1.03,131
250317.8481,2,2,6,22.97,322.04,0,0.25,401.4,315.262,19.73,255.29,276.4,3,0.95,785,0.67,2,113.57,125.13,1.02,131
250317.8481,2,2,6,20.4,285.86,0,0.25,329.71,258.952,16.183,205.22,216.15,3,0.95,610,0.67,2,119.16,117.85,1.02,131
630.012,7,36,79,480.78,977.48,114.97,0.71,7525.1,17017.52,3828.173,1042.44,1207.92,8,0.9,5889,0.51,1.89,78.16,69.43,1.03,146
19295.22,10,11,32,341.08,923.89,0,1,3380.79,10621.12,2655.263,670.52,714.46,6,0.96,510,0.6,2,89.83,71.28,1.01,125
230.522,7,1,9,15.95,34.2,5.11,1.88,116.64,691.152,326.413,22.1,29.32,1,0.92,52,0,2,56.07,16.73,1.03,144
250317.8481,1,8,17,132.42,136.78,0,0.25,544.43,427.62,26.723,120.16,199.14,4,0.91,745,0.43,2,79.56,93.21,1.03,131
2897.612,3,4,11,360.9,976.1,0,1,2320.62,7290.452,1822.613,683.58,794.98,3,0.86,413,0.5,2,112.1,60.78,1.02,125
250317.8481,2,4,10,67.56,315.55,0,0.25,577.71,453.732,28.363,183.18,205.23,4,0.91,758,0.47,2,51.93,86.54,1.03,131
250317.8481,1,10,21,52.75,157.01,0,0.25,400.44,314.52,19.663,108.52,124.29,7,0.94,859,0.6,2,21.21,59.35,1.03,131
250317.8481,1,48,97,111.3,434.08,0,0.25,1417,1112.912,69.563,430.89,512.45,28,0.95,3095,0.7,2,87.08,84.12,1.03,131
250317.8481,1,14,29,64.9,804.19,0,0.25,1359.71,1067.912,66.743,759.37,827.04,9,0.96,3454,0.64,2,101.4,92.33,1.02,131
250317.8481,2,17,36,108.2,162.97,0,0.25,589,462.62,28.913,99.03,127.78,12,0.94,1184,0.6,2,92.33,97.35,1.03,131
250317.8481,2,5,12,38.66,455.01,0,0.25,592.43,465.32,29.083,428.47,461.47,5,0.92,756,0.6,2,56.77,76.14,1.03,131
250317.8481,2,16,34,98.77,344.44,0,0.25,1073.32,842.982,52.693,226.94,257.94,9,0.9,2337,0.52,2,49.5,72.91,1.03,131
387.472,4,10,24,201.42,1276.41,187.07,0.49,3667.3,5698.882,822.493,1251.46,1441.15,5,0.83,2938,0.5,1.64,84.11,51.92,1.05,142
804.372,9,110,229,496.48,1025.1,140.77,0.43,18561.5,25103.92,3682.663,607.34,896.86,14,0.91,15545,0.42,1.91,74.41,63.21,1.02,146
218.932,1,3,7,4.72,34.45,4.78,1.86,51.32,302.892,142.723,36.17,37.46,2,0.95,22,0,1.77,103.38,86.69,1.02,144
250317.8481,2,3,8,269.95,430.12,0,0.25,1224.05,961.362,60.093,346.85,434.23,3,0.88,1648,0.33,2,75.08,86.3,1.02,131
250317.8481,2,0,2,199.56,309.09,0,0.25,617.9,485.32,30.333,344.58,392.24,1,0.87,414,0,2,173.92,61.97,1.02,131
250317.8481,2,13,28,99.92,449.05,0,0.25,999.57,785.062,49.073,425.68,522.71,12,0.93,2097,0.83,2,46.01,67.14,1.03,131
250317.8481,1,20,41,148.77,318.2,0,0.25,886.12,695.962,43.53,290.82,338.1,14,0.93,1886,0.63,2,74.68,87.7,1.03,131
250317.8481,2,8,18,47.86,599.47,0,0.25,841.58,660.982,41.313,320.1,347.88,8,0.93,541,0.75,2,26.07,107.52,1.02,131
250317.8481,2,16,34,152.97,398.46,0,0.25,819.53,643.662,40.233,318.34,362.1,9,0.94,1749,0.73,2,101.47,93.98,1.03,131
250317.8481,2,23,48,54.54,309.86,0,0.25,578.87,454.642,28.423,250.38,278.21,15,0.93,1230,0.59,2,94.48,89.71,1.03,131
15048.32,7,10,27,526.34,821.56,0,1,3667.89,115232,2880.753,543.68,571.23,5,0.88,634,0.45,2,69.32,93.28,1.02,125
755.912,6,54,114,273.39,594.5,137.5,0.63,7351.83,15400.82,3614.063,478.78,727,18,0.92,5765,0.68,1.85,76.38,67.69,1.02,146
580.912,8,76,160,496.34,1025,322.91,0.43,15772,21364.72,2761.073,584.03,1069.91,18,0.87,12289,0.56,1.96,82.31,83.15,1.03,142
590.662,9,90,189,554.99,661.69,104.91,0.47,12462.2,18582.32,2801.53,510.38,762.53,10,0.86,10652,0.52,1.99,77.3,68.93,1.04,146
250317.8481,2,11,24,162.51,546.85,0,0.25,1291.26,1014.152,63.383,406.53,681.85,10,0.94,2638,0.71,2,89.04,86.04,1.02,131
250317.8481,1,1,3,19.81,242.05,0,0.25,321.08,252.172,15.763,254.71,275.15,1,0.94,416,0,2,26.47,19.99,1.01,131
250317.8481,1,19,39,298.3,718.62,0,0.25,2215.94,1740.42,108.783,696.26,959.07,14,0.92,4655,0.8,2,94.42,76.94,1.03,131
250317.8481,1,23,47,147.25,1049.04,0,0.25,1951.17,1532.452,95.783,737.62,1001.8,12,0.95,4140,0.63,2,88.78,76.04,1.03,131
250317.8481,2,7,16,33.61,158.31,0,0.25,327.3,257.062,16.073,134.48,142.23,6,0.94,654,0.5,2,104.16,97.4,1.03,131
250317.8481,2,2,6,18.87,228.92,0,0.25,280.67,220.442,13.783,237.09,253.66,3,0.91,209,0.67,2,66.27,65.38,1.02,131
493.692,5,16,37,282.32,1124.55,216.3,0.63,5622.74,11233.52,2044.243,1007.36,1301.96,11,0.84,3962,0.69,1.61,92.73,69.48,1.04,142
250317.8481,2,8,18,315.28,510.85,0,0.25,1248.04,980.212,61.263,425.57,459.48,5,0.93,2716,0.67,2,72.1,77.65,1.03,131
250317.8481,2,12,26,77.32,224.08,0,0.25,636.42,499.842,31.243,168.33,204.49,10,0.91,863,0.72,2,43.4,98.64,1.03,131
250317.8481,2,0,2,53.44,411.48,0,0.25,499.47,392.282,24.523,239.25,278.89,1,0.88,651,0,2,109.98,149.8,1.02,131
250317.8481,1,1,3,12.69,228.64,0,0.25,302.71,237.742,14.863,244.36,260.72,1,0.95,376,0,2,26.84,12.55,1.01,131
250317.8481,1,8,17,33.98,179,0,0.25,300.51,236.022,14.753,153.45,168.8,6,0.95,654,0.49,2,121.98,114.38,1.04,131
250317.8481,1,61,123,293.65,494.13,0,0.25,3004.92,2360.062,147.53,432.41,668.5,27,0.95,6411,0.71,2,79.36,90.11,1.03,131
250317.8481,1,13,27,430.18,920.66,0,0.25,2631.8,2067.012,129.193,711.53,844,11,0.94,5363,0.8,2,99.46,82.98,1.02,131
250317.8481,1,16,33,92.16,420.76,0,0.25,804.86,632.142,39.513,362.48,439.66,11,0.91,524,0.74,2,75.75,96.58,1.04,131
250317.8481,1,57,115,204.18,432.88,0,0.25,1937.49,1521.72,95.113,421.68,529.4,30,0.95,4175,0.66,2,82.29,91.59,1.03,131
250317.8481,2,1,4,127.25,242.16,0,0.25,471.69,370.472,23.153,186.1,229.26,2,0.84,641,0.5,2,84.99,77.54,1.03,131
250317.8481,2,2,6,16.82,335.92,0,0.25,434.23,341.042,21.323,223.44,241.84,3,0.94,952,0.67,2,88.02,69.65,1.02,131
250317.8481,1,28,57,116.89,410.41,0,0.25,1181.09,927.632,57.983,233.64,334.96,14,0.93,2519,0.58,2,80.97,82.72,1.03,131
250317.8481,1,7,15,174.66,265.57,0,0.25,888.9,698.142,43.633,231.8,392.76,6,0.89,605,0.64,2,81.21,112.32,1.03,131
262.452,6,33,72,243.03,409.24,162.13,0.62,5184.17,10168.92,1829.583,394.7,521.97,10,0.87,3822,0.52,1.79,78.9,66.69,1.04,142
1114.752,10,65,140,442.61,479.3,138.36,0.56,12515.7,21949.22,3949.073,363.38,418.94,11,0.88,10577,0.37,1.89,74.9,55.63,1.03,146
195.592,2,1,4,8.84,68.73,14.43,0.24,105.64,79.652,4.783,60.78,72.61,1,0.81,46,0,2,111.34,79.27,1.07,144
250317.8481,2,4,10,60.37,157.82,0,0.25,287.48,225.792,14.113,149.07,172.04,5,0.92,186,0.8,2,75.88,102.89,1.03,131
250317.8481,2,14,30,358.83,507.48,0,0.25,1709.13,1342.352,83.93,462.28,521.73,10,0.92,2246,0.75,2,50.64,70.04,1.03,131
29243.32,5,9,23,546.2,1006.63,0.68,1,4728.56,14855.22,3713.83,644.72,746.99,6,0.95,796,0.56,2,52.68,53.25,1.01,125
4277.192,10,24,58,603.57,839.54,152.6,2.03,7060.82,48492.22,48369.43,727.54,791.14,7,0.92,668,0.64,1.08,68.35,60.46,1.02,143
2191.222,3,11,25,180.63,958.07,0,1,2686.29,8439.232,2109.813,569.14,629.49,6,0.95,495,0.45,2,73.01,74.19,1.01,125
250317.8481,2,3,8,98.86,302.57,0,0.25,553.36,434.612,27.163,283.63,344.19,3,0.92,380,0.33,2,123.55,74.02,1.02,131
981.982,8,44,96,369.49,1167.5,134.19,0.75,8172.44,19691.92,4667.933,1368.73,1503.44,14,0.92,6312,0.48,2,76.54,69.84,1.02,146
3901.262,12,34,80,503.22,842.73,138.05,1.59,7785.48,39467.82,22262.33,923.46,965.67,14,0.95,603,0.6,1.15,62.49,56.85,1.01,143
250317.8481,2,30,62,115.75,190.22,0,0.25,511.37,401.632,25.13,199.59,214.55,22,0.97,345,0.78,2,85.22,80.42,1.02,131
250317.8481,2,55,112,172.61,314.25,0,0.25,1726.99,1356.382,84.773,251.78,354.22,23,0.95,3705,0.65,2,88.08,93.51,1.03,131
25207.12,3,7,17,346.87,707.24,5.61,1,2401.14,7543.422,1885.853,627.58,692.99,6,0.95,395,0.66,2,47.17,72.64,1.01,125
250317.8481,2,14,30,177.81,268.02,0,0.25,889.42,698.552,43.663,188.82,217.28,9,0.95,1969,0.59,2,88.85,86.06,1.02,131
580.392,6,84,174,403.76,697.18,248.63,0.68,16862.4,36405.52,6725.963,658.15,788.3,12,0.89,12947,0.44,1.96,75.04,53.83,1.03,142
1182.392,11,73,157,358.09,689.19,113.65,0.49,9221.93,14023.62,2105.033,610.08,668.18,19,0.91,7838,0.47,1.86,68.06,56.26,1.03,146
250317.8481,2,12,26,186.27,318.22,0,0.25,798.55,627.182,39.23,294.06,323.05,8,0.94,563,0.69,2,59.08,89.76,1.02,131
17815.82,5,20,45,548.38,1050.81,9.56,1,5030.13,15802.62,3950.653,644.1,732.65,7,0.95,849,0.49,2,79.57,73.52,1.01,125
923.962,12,168,348,785.9,1078.39,147.19,0.36,35861.5,41431.82,5137.493,1027.68,1427.63,18,0.9,30105,0.51,1.95,75.95,66.28,1.03,146
250317.8481,2,14,30,54.01,109.02,0,0.25,466.15,366.112,22.883,92.18,149.92,12,0.92,322,0.83,2,49.91,97.13,1.03,131
250317.8481,1,5,11,196.75,356.82,0,0.25,762.4,598.782,37.423,311.52,358.88,5,0.92,1517,0.8,2,95.05,120.78,1.03,131
250317.8481,1,16,33,111.1,598.88,0,0.25,1088.9,855.222,53.453,514.57,576.6,11,0.94,2219,0.83,2,90.94,92.23,1.03,131
8869.012,4,23,50,735.97,921.89,1,1,7684.84,24142.62,6035.663,689.86,783.88,8,0.95,1393,0.56,2,67.69,63.4,1.01,125
250317.8481,2,4,10,40.74,473.08,0,0.25,647.53,508.572,31.793,315.88,388.98,4,0.85,1259,0.47,2,86.01,108.95,1.03,131
250317.8481,1,9,19,82.96,364.17,0,0.25,633.51,497.562,31.13,276.32,298.77,5,0.96,1232,0.5,2,102.28,95.86,1.02,131
250317.8481,1,2,5,48.81,134.99,0,0.25,195.84,153.822,9.613,98.21,109.77,2,0.94,417,0.5,2,91.23,90.67,1.03,131
250317.8481,2,5,12,153.43,290.34,0,0.25,720.08,565.552,35.353,286.79,309.46,6,0.94,979,0.83,2,70.89,103.73,1.02,131
250317.8481,1,34,69,108.36,454.36,0,0.25,1140.27,895.572,55.973,451.85,531.64,17,0.95,2418,0.6,2,72.37,79.78,1.03,131
250317.8481,1,1,3,68.42,292.88,0,0.25,395.76,310.832,19.433,274.08,300.13,1,0.9,263,0,2,33.26,125.1,1.02,131
495.772,6,119,244,695.49,1100.19,123.09,0.42,15621.6,20755.12,3170.643,698.1,893.32,17,0.89,13268,0.5,1.92,86.7,79.92,1.03,146
200.762,4,1,6,15.57,37.75,1.39,1.73,84.9,456.162,198.93,29.81,30.67,1,0.97,29,0,1.52,114.06,96.87,1.01,144
250317.8481,1,12,25,189.32,346.15,0,0.25,1217,955.832,59.743,255.2,316.89,7,0.95,2551,0.63,2,88.83,86.86,1.03,131
250317.8481,2,17,36,129.66,341.75,0,0.25,940.96,739.032,46.193,262.24,366.52,10,0.94,1955,0.65,2,69.61,71.37,1.03,131
250317.8481,2,0,2,34.9,439.29,0,0.25,503.83,395.712,24.733,400.53,433.71,1,0.92,330,0,2,126.97,164.55,1.01,131
250317.8481,2,10,22,579.34,737.2,0,0.25,2161.7,1697.82,106.113,631.38,728.31,6,0.95,4312,0.57,2,107.09,110.82,1.02,131
250317.8481,2,15,32,237.2,940.98,0,0.25,1732.66,1360.832,85.053,816.16,904.13,12,0.94,3730,0.7,2,87.61,100.79,1.02,131
250317.8481,1,21,43,79.5,311.94,0,0.25,687.2,539.722,33.733,277.78,324.94,10,0.95,1446,0.61,2,98.35,93.47,1.02,131
250317.8481,2,4,10,37.04,194.1,0,0.25,354.99,278.812,17.433,184.28,212.78,4,0.9,474,0.5,2,68.38,114.32,1.03,131
842.872,6,106,218,900.49,1059.7,106.16,0.35,21524.7,23909.52,3138.983,808.7,1483.55,15,0.89,18590,0.54,1.99,85.14,76.82,1.03,146
250317.8481,2,30,62,253.67,361.87,0,0.25,2174.97,1708.222,106.763,243.94,598.87,20,0.93,1505,0.68,2,86.47,101.41,1.02,131
410.762,6,16,38,316.25,449.29,170.21,0.56,3074.85,5367.72,852.23,323.61,443.43,8,0.87,2481,0.51,1.83,81.61,56.42,1.04,146
327912,5,16,37,582.62,1121.97,0,1,6331.56,19891.22,4972.793,749.48,780.1,7,0.92,1098,0.56,2,71.04,61.28,1.03,125
250317.8481,1,7,15,65.92,235.82,0,0.25,400.01,314.162,19.643,179,197.88,7,0.96,830,0.86,2,75.08,79.45,1.02,131
250317.8481,2,21,44,169.95,502.87,0,0.25,1267.61,995.582,62.223,388.96,493.16,14,0.94,2739,0.57,2,94.39,98.67,1.03,131
4712.532,4,12,28,205.2,661.6,0.87,1,1910.8,6002.962,1500.743,628.62,671.2,8,0.95,328,0.56,2,80.94,91.49,1.01,125
250317.8481,1,7,15,232.79,953.15,0,0.25,1665.11,1307.772,81.743,806.71,950.58,7,0.94,3515,0.86,2,69.05,62.17,1.02,131
250317.8481,2,2,6,31.96,158.85,0,0.25,201.84,158.532,9.913,115.44,133.26,3,0.93,279,0.67,2,103.78,107.6,1.02,131
417.172,8,26,60,285.86,359.12,326.96,0.54,6231.89,10657.62,1583.053,339.72,465.44,7,0.83,4074,0.33,1.85,74.09,57.24,1.05,142
22562.22,7,19,45,504.1,861.93,0,1,6324.45,19868.92,4967.213,551.32,1132.15,8,0.94,1089,0.49,2,50.84,40.76,1.01,125
250317.8481,2,1,4,25.38,180.02,0,0.25,209.03,164.182,10.263,121.83,134.04,2,0.97,149,0.5,2,153.62,129.57,1.01,131
250317.8481,2,32,66,325.87,579.35,0,0.25,2842.41,2232.432,139.533,581.68,1209.3,17,0.93,5887,0.64,2,79.82,96.17,1.02,131
9298.832,5,11,27,556.02,899.36,1.65,1,4332.31,13610.42,3402.593,601.94,678.1,6,0.96,746,0.65,2,55.4,49.29,1.01,125
250317.8481,2,1,4,95.7,145.12,0,0.25,282.89,222.182,13.893,159.75,181.25,2,0.97,381,0.5,2,135.78,159.48,1.02,131
250317.8481,1,4,9,44.33,355.4,0,0.25,473,371.52,23.223,350.26,379.65,4,0.93,994,0.75,2,72.83,78.37,1.02,131
250317.8481,2,15,32,42.81,143.54,0,0.25,335.15,263.232,16.453,95.63,180.43,7,0.95,680,0.52,2,85.13,93.94,1.03,131
443.552,6,55,116,342.32,622.23,212.44,0.65,11616.8,23993.92,4437.033,673.37,736.42,11,0.89,8760,0.43,1.96,76.53,48.58,1.03,142
250317.8481,1,22,45,93.54,204.52,0,0.25,623.91,490.022,30.633,208.25,239.87,16,0.93,873,0.88,2,16.54,80.16,1.03,131
1043.342,7,103,213,644.29,825.68,151.53,0.51,15917.6,252472,3952.043,748.04,888.35,17,0.91,12518,0.55,1.91,79.3,64.85,1.03,146
250317.8481,1,1,3,11.63,204.73,0,0.25,237.1,186.222,11.643,214.91,227.65,1,0.93,290,0,2,25.83,83.2,1.02,131
442.782,7,47,101,332.03,482.65,251.96,0.33,9886.59,10090.82,972.473,427.96,579.34,8,0.82,6676,0.37,2.15,68.27,49.91,1.05,142
250317.8481,1,12,25,83.83,333.37,0,0.25,676.62,531.412,33.213,214.52,268.42,7,0.94,1455,0.35,2,81.64,102.87,1.02,131
250317.8481,2,34,70,266.26,402.73,0,0.25,1941.68,1524.992,95.313,408.52,539.79,17,0.93,4087,0.66,2,92.32,89.41,1.03,131
6942.812,5,20,45,486.07,893.55,1.52,1,4748.54,149182,3729.493,713.27,813.37,8,0.94,825,0.61,2,64.98,73.82,1.01,125
250317.8481,2,9,20,44.36,190.57,0,0.25,399.78,313.992,19.623,207.58,226.31,9,0.95,905,0.77,2,94.08,117.76,1.02,131
250317.8481,1,28,57,175.9,326.98,0,0.25,785.7,617.082,38.573,264.87,281.82,12,0.95,1543,0.69,2,89.43,98.2,1.04,131
250317.8481,1,13,27,292.47,574.16,0,0.25,1748.65,1373.392,85.843,528.07,615.08,8,0.95,3704,0.67,2,79.53,74.21,1.02,131
250317.8481,2,26,54,268.57,455.95,0,0.25,2029.11,1593.662,99.63,378.27,691.81,17,0.94,4289,0.63,2,78.97,84.21,1.02,131
394.442,7,42,91,418.37,837.13,239,0.53,11081.1,18374.52,2774.493,795.61,921.68,12,0.87,8414,0.39,1.84,83.27,54.89,1.04,142
