Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Category,w
250317.8481,2,18,38,100.45,346.62,0,0.25,955.63,750.552,46.913,206.7,236.07,11,0.93,667,0.64,2,50.29,81.1,1.02,131,
250317.8481,1,3,7,128.15,348.99,0,0.25,654.36,513.932,32.123,316.28,642.78,3,0.94,451,0.67,2,60.28,57.74,1.02,131,
250317.8481,1,9,19,144.36,343.65,0,0.25,935.86,735.022,45.943,284.48,322.61,5,0.92,1947,0.49,2,76.99,87.45,1.02,131,
201.012,7,48,103,338.85,589.23,260.06,0.65,10476.9,21367.12,3723.563,500.31,620.43,8,0.88,7284,0.36,1.96,67.85,55.24,1.03,142,
250317.8481,1,10,21,58.51,236.63,0,0.25,488.63,383.772,23.993,233.96,289.39,4,0.89,662,0.31,2,34.75,87.74,1.04,131,
250317.8481,2,12,26,78.34,304.75,0,0.25,532.44,418.182,26.143,271.13,339.76,10,0.89,1083,0.65,2,72.52,84.43,1.05,131,
250317.8481,2,10,22,259.49,345.1,0,0.25,971.36,762.92,47.683,289.45,320.53,7,0.93,2152,0.54,2,48.88,74.2,1.03,131,
390.832,5,24,53,362.81,218.54,231.5,0.53,3952.31,6606.672,1029.383,297.19,475.52,7,0.85,2733,0.37,1.87,64.99,60.55,1.04,142,
250317.8481,2,2,6,33.2,345.93,0,0.25,443.36,348.212,21.763,352.55,383.82,3,0.95,944,0.67,2,111.67,107.43,1.02,131,
15694.42,6,18,42,388.42,991.18,0,1,3190.63,10023.72,2505.923,646.22,668.01,10,0.96,544,0.55,2,69.45,71.23,1.01,125,
610.612,6,60,126,1307.09,1243.5,113.64,0.5,11440.2,18201.92,2675.13,1185.21,1348.53,11,0.91,9771,0.35,2,74.9,48.55,1.02,146,
250317.8481,2,1,4,17.38,132.83,0,0.25,160.29,125.892,7.873,77.87,84.99,2,0.92,212,0.5,2,89.33,129.55,1.02,131,
250317.8481,1,26,53,162.15,360.78,0,0.25,771.5,605.932,37.873,320.04,433.84,18,0.95,1700,0.55,2,82.05,95.22,1.03,131,
15055.12,9,29,67,618.23,1010.42,0,1,8189.1,25726.82,6431.73,651.23,787.14,7,0.96,1433,0.58,2,59.76,60.26,1.01,125,
863.662,6,150,306,1290.51,1723.78,220.36,0.47,37915.1,57353.12,10845.23,1378.96,1521.7,18,0.88,30737,0.47,1.97,82.98,65.92,1.03,146,
395.382,7,37,81,320.28,739.12,230.21,0.54,9054.1,15506.22,2553.423,672.3,818.37,10,0.85,6986,0.39,1.89,70.84,52.43,1.04,142,
250317.8481,1,4,9,45.01,189.56,0,0.25,296.9,233.182,14.573,136.06,154.46,4,0.94,621,0.75,2,96.06,97.93,1.03,131,
250317.8481,2,2,6,186.63,258.64,0,0.25,560.76,440.422,27.533,198.76,215.29,3,0.94,789,0.67,2,107.53,84.46,1.01,131,
250317.8481,2,6,14,67.44,390.63,0,0.25,743.85,584.222,36.513,270.79,297.74,7,0.92,1523,0.86,2,99.84,109.48,1.03,131,
250317.8481,1,2,5,30.64,146.63,0,0.25,236.72,185.922,11.623,157.97,168.96,2,0.96,305,0.5,2,23.42,16.45,1.02,131,
