Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Category,w
250317.8481,2,10,22,102.05,381.68,0,0.25,753.86,592.082,373,265.78,314.92,7,0.9,483,0.74,2,56.41,95.56,1.03,131,
4920.412,4,23,50,689.5,676.47,0,1,6240.09,19603.82,4900.953,612.32,734.21,10,0.94,1123,0.59,2,70.42,66.78,1.01,125,
8179.292,4,11,26,553.97,1002.3,0.28,1,3571.15,11219.12,2804.773,619.92,709.35,4,0.95,620,0.17,2,65.81,71.8,1.01,125,
250317.8481,2,6,14,176.67,263.4,0,0.25,690.75,542.522,33.913,242.76,430.68,7,0.9,455,0.86,2,61.12,91.45,1.03,131,
250317.8481,2,5,12,49.49,302.2,0,0.25,547.62,430.12,26.883,318.91,375.07,5,0.91,755,0.56,2,31.98,57,1.03,131,
8615.712,6,7,20,502.18,612.16,0,1,3608.14,11335.32,2833.833,523.94,611.6,3,0.94,612,0.43,2,61.12,74.08,1.01,125,
250317.8481,2,6,14,29.59,367.33,0,0.25,552.17,433.672,27.13,289.45,341.93,5,0.89,1177,0.62,2,16.2,76.7,1.03,131,
79.262,2,38,78,730.98,847.34,0,1,8918.5,28018.32,7004.573,631.42,788.88,11,0.94,1589,0.36,2,71.64,74.75,1.01,125,
250317.8481,2,8,18,354.98,545.72,0,0.25,1662.73,1305.92,81.623,483.33,642.67,8,0.95,3428,0.72,2,75.37,86.53,1.02,131,
250317.8481,1,20,41,156.23,652.47,0,0.25,1514.35,1189.372,74.343,402.43,783.82,15,0.95,3143,0.76,2,91.84,93.16,1.02,131,
5129.12,5,37,79,438.56,702.31,0,1,4856.87,15258.32,3814.583,578.61,965.76,12,0.95,889,0.54,2,78.46,73.76,1.01,125,
250317.8481,2,16,34,83.04,476.39,0,0.25,991.66,778.842,48.683,309.32,342.75,17,0.94,2071,0.94,2,111.21,104.57,1.04,131,
12693402,1,44,89,488.39,1006.9,0,1,9803.25,30797.82,7699.463,719.96,816.86,11,0.95,1769,0.58,2,62.67,64.53,1.01,125,
250317.8481,1,212,425,483.21,894.42,0,0.25,10377.6,8150.522,509.413,719.87,906.08,37,0.95,22067,0.66,2,86.27,86.69,1.02,131,
250317.8481,2,4,10,86.09,288.77,0,0.25,507.07,398.252,24.893,276,315.85,4,0.95,1071,0.4,2,118.03,96.82,1.02,131,
22206602,2,8,18,312.47,949.58,0,1,2778.93,8730.272,2182.573,569.8,1047.31,5,0.93,500,0.67,2,120.6,118.37,1.01,125,
250317.8481,1,10,21,90.01,172.64,0,0.25,443.47,348.32,21.773,124.58,140.4,7,0.94,939,0.59,2,76.65,83.04,1.02,131,
250317.8481,2,2,6,70.22,240.9,0,0.25,387.13,304.052,193,219.19,249.31,2,0.93,544,0,2,61.88,130.89,1.02,131,
250317.8481,2,4,10,63.22,135.35,0,0.25,275.78,216.62,13.543,119.35,152.31,4,0.81,182,0.47,2,36.85,100,1.05,131,
288.112,3,2,7,45.66,63.49,15.19,2.12,154.31,1028.962,549.793,65.98,74.82,1,0.93,46,0,2.2,60.55,59.07,1.02,144,
330.042,4,2,8,14.92,63.65,4.97,1.1,219.83,780.842,340.053,60.97,71.51,1,0.92,59,0,2.87,56.57,41.46,1.02,144,
250317.8481,1,24,49,486.94,640.26,0,0.25,2607.02,2047.552,127.973,410.65,554.73,11,0.93,5394,0.54,2,59.32,74.87,1.02,131,
250317.8481,1,19,39,155.3,404.18,0,0.25,1306.74,1026.312,64.143,469.04,538.92,8,0.92,2763,0.68,2,63.65,75.26,1.02,131,
250317.8481,1,15,31,377.23,986.09,0,0.25,2061.98,1619.472,101.223,808.98,899.33,10,0.94,4342,0.67,2,80.2,80.03,1.02,131,
10071.42,4,7,18,521.62,750.34,0,1,3077.69,9668.842,2417.213,515.6,533.39,3,0.94,544,0.29,2,52.44,49.44,1.01,125,
250317.8481,1,23,47,34.25,309.08,0,0.25,515.17,404.612,25.293,179.09,190.65,14,0.94,1039,0.57,2,79.86,87.53,1.03,131,
250317.8481,2,3,8,44.99,241.09,0,0.25,356.58,280.062,17.53,177.84,211.27,4,0.94,432,0.75,2,103.78,100.31,1.02,131,
250317.8481,2,10,22,30.4,171.31,0,0.25,331.1,260.052,16.253,108.26,120.93,6,0.93,451,0.61,2,50.65,90.19,1.03,131,
250317.8481,1,10,21,166.63,230.61,0,0.25,539.83,423.982,26.53,207.57,361.67,7,0.93,1125,0.73,2,78.94,85.98,1.03,131,
493.122,5,128,261,1029.14,2079.86,601.8,0.33,27746.1,29081.52,3679.243,2022.84,2306.75,22,0.9,19967,0.49,1.93,76.12,74.09,1.02,142,
5807.142,11,23,57,594.34,1518.79,196.24,1.62,7880.2,44093.42,28843.93,1242.67,1310.3,7,0.93,593,0.46,1.13,69.84,57.71,1.01,143,
250317.8481,2,6,14,57.24,170.88,0,0.25,359.13,282.062,17.633,134.72,147.01,5,0.95,731,0.42,2,86.39,108.49,1.03,131,
250317.8481,1,8,17,304.52,623.27,0,0.25,1777.6,1396.122,87.263,520.37,625.27,7,0.93,3687,0.7,2,117.02,122.49,1.02,131,
250317.8481,1,4,9,33.55,134.31,0,0.25,233.07,183.062,11.443,144.73,164.75,3,0.94,157,0.25,2,75.41,114.23,1.02,131,
29585.22,4,7,18,270.96,872.45,0,1,2247.72,7061.422,1765.363,524.71,600.35,5,0.95,367,0.45,2,106.27,82.14,1.01,125,
250317.8481,1,4,9,8.21,141.86,0,0.25,187.49,147.252,9.23,150.01,162.93,4,0.91,237,0.75,2,13.74,91.32,1.02,131,
155.992,3,1,5,6.78,52.63,20.37,1.62,90.3,470.12,203.583,54.07,59.55,1,0.88,47,0,1.58,42.53,14.72,1.04,144,
303.532,6,35,76,279.19,571.6,254.4,0.65,7779.47,15894.22,2823.213,489.53,574.32,11,0.88,5627,0.42,1.89,83.45,62.2,1.03,142,
552.262,6,68,142,898.86,1294.17,0,0.41,14552.8,18784.42,2505.83,1380.67,1514.42,11,0.88,13203,0.53,1.9,91.22,76.54,1.04,142,
216.522,12,2,16,13.63,90.13,7.06,1.29,367.11,1482.962,498.673,87.81,93.92,1,0.93,161,0,1.79,83.46,6.63,1.02,144,
250317.8481,1,14,29,552.43,809.21,0,0.25,2675.19,2101.092,131.323,618.76,1010.52,10,0.96,5385,0.72,2,106.28,107.29,1.01,131,
250317.8481,1,39,79,193.54,899.12,0,0.25,2589.37,2033.692,127.113,738.96,885.26,21,0.94,5397,0.69,2,94.58,89.54,1.03,131,
250317.8481,1,17,35,267.17,545,0,0.25,1097.78,862.22,53.893,590.94,774.68,15,0.94,2234,0.84,2,115.82,112.2,1.03,131,
250317.8481,1,13,27,352.57,616.46,0,0.25,1920,1507.962,94.253,433.66,539.63,8,0.95,4091,0.68,2,80.05,87.42,1.02,131,
250317.8481,2,9,20,102.03,297.95,0,0.25,526.58,413.572,25.853,296.57,397.06,6,0.94,1056,0.29,2,78.56,95.61,1.03,131,
250317.8481,2,9,20,183.2,434.38,0,0.25,1067.35,838.32,52.393,333.03,380.3,9,0.92,699,0.78,2,89.5,71.53,1.03,131,
250317.8481,2,1,4,57.94,408.16,0,0.25,487.85,383.162,23.953,296.52,329.65,2,0.94,636,0.5,2,98.75,148.69,1.02,131,
250317.8481,2,1,4,157.1,384.23,0,0.25,601.6,472.52,29.533,316.61,491.18,2,0.87,804,0.5,2,156.8,161.54,1.03,131,
250317.8481,1,3,7,275.06,310.71,0,0.25,686.86,539.462,33.723,241.84,275.94,3,0.94,1350,0.67,2,88.16,104.73,1.02,131,
250317.8481,2,11,24,256.3,356.44,0,0.25,1007.99,791.682,49.483,276.17,638.9,8,0.93,2166,0.55,2,82.15,89.56,1.02,131,
250317.8481,1,5,11,88.92,1050.42,0,0.25,1596.43,1253.832,78.363,1079.37,1170.82,5,0.95,3524,0.8,2,83.81,70.08,1.02,131,
250317.8481,2,34,70,88.11,348.61,0,0.25,1097.65,862.092,53.883,339.55,441.73,20,0.91,2246,0.64,2,85.19,88.06,1.04,131,
250317.8481,2,1,4,122.25,210.15,0,0.25,392.27,308.092,19.263,152.62,194.61,2,0.88,533,0.5,2,66.08,63.73,1.02,131,
565.252,8,62,132,417.63,1098.17,273.66,0.26,12801.4,10523.42,759.23,664.83,838.08,10,0.87,9081,0.49,1.99,86.02,64.81,1.03,142,
246.172,7,16,39,190.42,233.18,155.26,0.63,2518.87,5042.012,999.963,191.86,237.68,6,0.87,1695,0.31,1.68,79.93,74.5,1.03,142,
538.412,8,28,64,243.02,323.84,253.72,0.74,6008.44,14534.12,3763.153,309.04,499.43,7,0.73,3738,0.45,1.72,62.7,69.19,1.08,142,
13778.32,7,20,47,462.14,931.41,0.72,1,4346.2,136542,3413.53,621.88,779.7,8,0.94,747,0.6,2,60.35,65.07,1.01,125,
3737.192,4,8,20,367.65,732.45,1.47,1,2901.91,9116.622,2279.153,582.98,722.18,4,0.95,532,0.54,2,76.76,69.59,1.01,125,
250317.8481,1,63,127,470.09,578.34,0,0.25,4024.29,3160.672,197.543,462.28,1125.04,36,0.92,5377,0.73,2,46.45,79.55,1.03,131,
250317.8481,1,19,39,62.11,275.73,0,0.25,585.02,459.482,28.723,156.86,169.08,16,0.94,1285,0.82,2,78.49,105.8,1.03,131,
250317.8481,1,2,5,34.58,200.52,0,0.25,258.76,203.232,12.73,176.63,218.14,2,0.93,546,0.5,2,91.41,97.27,1.04,131,
250317.8481,2,22,46,55.28,470.13,0,0.25,871.58,684.532,42.783,404.38,448.12,15,0.95,1913,0.61,2,82.05,91.78,1.03,131,
250317.8481,1,34,69,102.85,493.97,0,0.25,1148.04,901.672,56.353,322.45,399.92,21,0.95,2428,0.72,2,93.23,86.78,1.03,131,
250317.8481,1,2,5,100.22,359.82,0,0.25,684.63,537.712,33.613,385.82,457.16,2,0.91,916,0.5,2,13.97,43.22,1.02,131,
250317.8481,2,0,2,44.63,217.03,0,0.25,268.62,210.972,13.193,124.34,140.35,1,0.9,361,0,2,179.38,139.54,1.02,131,
250317.8481,2,6,14,82.66,191.12,0,0.25,470.73,369.712,23.113,108.39,123.72,5,0.92,920,0.62,2,75.77,74.92,1.03,131,
250317.8481,2,3,8,190.95,393.22,0,0.25,857.97,673.852,42.123,342.34,401.71,3,0.89,1830,0.33,2,77.52,76.22,1.02,131,
250317.8481,2,11,24,57,354.26,0,0.25,527.31,414.152,25.883,292.36,332.15,6,0.92,733,0.63,2,40.49,90.04,1.02,131,
8581.672,4,48,100,868.94,984.06,0,1,10138.8,318522,7962.993,664.78,775.81,13,0.95,1894,0.53,2,81.04,79.49,1.01,125,
250317.8481,2,8,18,158.24,417.62,0,0.25,1111.99,873.362,54.583,318,351.53,5,0.92,2356,0.29,2,49.39,48.62,1.03,131,
211.392,2,5,12,25.8,132.34,50.07,1.81,225.06,1280.742,582.873,93.12,103.69,3,0.95,56,0.27,1.75,79.85,68.93,1.01,144,
250317.8481,1,40,81,266.03,292.58,0,0.25,1560.69,1225.762,76.613,285.47,447.54,21,0.95,3252,0.66,2,75.88,85.03,1.02,131,
250317.8481,2,4,10,56.89,286.31,0,0.25,526.92,413.842,25.873,266.89,308.88,5,0.92,722,0.8,2,50.76,75.46,1.02,131,
250317.8481,2,10,22,236.47,615.32,0,0.25,1286.85,1010.692,63.173,376.2,431.2,7,0.95,2646,0.5,2,121.92,94.97,1.03,131,
9674.582,5,8,21,300.1,626.38,0,1,2790.28,8765.912,2191.483,472.09,499.12,5,0.95,487,0.62,2,40.2,55.3,1.01,125,
250317.8481,1,14,29,91.15,469.12,0,0.25,917.35,720.482,45.033,367.33,409.56,9,0.95,1932,0.62,2,88.37,104.38,1.02,131,
250317.8481,1,7,15,291.59,726.81,0,0.25,1492.75,1172.42,73.283,471.39,658.84,6,0.93,3009,0.62,2,93.3,103.52,1.02,131,
19123702,1,21,43,787.98,965.26,0,1,7381.6,231902,5797.53,716.95,1814.44,8,0.9,1346,0.43,2,62.48,50.64,1.02,125,
13970.22,5,54,113,749.18,1039.02,1.02,1,11372,35726.22,8931.543,678.58,879.9,9,0.94,2084,0.57,2,72.11,64.86,1.01,125,
250317.8481,2,47,96,75.31,399.58,0,0.25,892.94,701.312,43.833,353.31,410.79,22,0.95,1832,0.7,2,83.21,88.02,1.03,131,
